CodigoCanton,CodigoParroquia,Nombre
0303,030352,CHOROCOPTE
0303,030353,GENERAL MORALES
0303,030354,GUALLETURO
0303,030355,HONORATO VÁSQUEZ
0303,030356,INGAPIRCA
0303,030357,JUNCAL
0303,030358,SAN ANTONIO
0303,030361,ZHUD
0303,030362,VENTURA
0303,030363,DUCUR
0304,030450,LA TRONCAL
0304,030451,MANUEL J. CALLE
0304,030452,PANCHO NEGRO
0305,030550,EL TAMBO
0306,030650,DÉLEG
0306,030651,SOLANO
0307,030750,SUSCAL
0401,040150,TULCÁN
0401,040151,EL CARMELO
0401,040153,JULIO ANDRADE
0401,040154,MALDONADO
0401,040155,PIOTER
0401,040156,TOBAR DONOSO
0401,040157,TUFIÑO
0401,040158,URBINA
0401,040159,EL CHICAL
0401,040161,SANTA MARTHA DE CUBA
0402,040250,BOLÍVAR
0402,040251,GARCÍA MORENO
0402,040252,LOS ANDES
0402,040253,MONTE OLIVO
0402,040254,SAN VICENTE DE PUSIR
0402,040255,SAN RAFAEL
0403,040350,EL ÁNGEL
0403,040351,EL GOALTAL
0403,040352,LA LIBERTAD
0403,040353,SAN ISIDRO
0404,040450,MIRA
0404,040451,CONCEPCIÓN
0404,040452,JIJÓN Y CAAMAÑO
0404,040453,JUAN MONTALVO
0405,040550,SAN GABRIEL
0405,040551,CRISTÓBAL COLÓN
0405,040552,CHITÁN DE NAVARRETE
0405,040553,FERNÁNDEZ SALVADOR
0405,040554,LA PAZ
0405,040555,PIARTAL
0406,040650,HUACA
0406,040651,MARISCAL SUCRE
0501,050150,LATACUNGA
0501,050151,ALÁQUEZ
0501,050152,BELISARIO QUEVEDO
0501,050153,GUAYTACAMA
0501,050154,JOSEGUANGO BAJO
0501,050156,MULALÓ
0501,050157,ONCE DE NOVIEMBRE
0501,050158,POALÓ
0501,050159,SAN JUAN DE PASTOCALLE
0501,050161,TANICUCHÍ
0501,050162,TOACASO
0502,050250,LA MANÁ
0502,050251,GUASAGANDA
0502,050252,PUCAYACU
0503,050350,EL CORAZÓN
0503,050351,MORASPUNGO
0503,050352,PINLLOPATA
0503,050353,RAMÓN CAMPAÑA
0504,050450,PUJILÍ
0504,050451,ANGAMARCA
0504,050453,GUANGAJE
0504,050455,LA VICTORIA
0504,050456,PILALÓ
0504,050457,TINGO
0504,050458,ZUMBAHUA
0505,050550,SAN MIGUEL
0505,050551,ANTONIO JOSÉ HOLGUÍN
0505,050552,CUSUBAMBA
0505,050553,MULALILLO
0505,050554,MULLIQUINDIL
0505,050555,PANSALEO
0506,050650,SAQUISILÍ
0506,050651,CANCHAGUA
0506,050652,CHANTILÍN
0506,050653,COCHAPAMBA
0507,050750,SIGCHOS
0507,050751,CHUGCHILLÁN
0507,050752,ISINLIVÍ
0507,050753,LAS PAMPAS
0507,050754,PALO QUEMADO
0601,060150,RIOBAMBA
0601,060151,CACHA
0601,060152,CALPI
0601,060153,CUBIJÍES
0601,060154,FLORES
0601,060155,LICÁN
0601,060156,LICTO
0601,060157,PUNGALÁ
0601,060158,PUNÍN
0601,060159,QUIMIAG
0601,060160,SAN JUAN
0601,060161,SAN LUIS
0602,060250,ALAUSÍ
0602,060251,ACHUPALLAS
0602,060253,GUASUNTOS
0602,060254,HUIGRA
0602,060255,MULTITUD
0602,060256,PISTISHI
0602,060257,PUMALLACTA
0602,060258,SEVILLA
0602,060259,SIBAMBE
0602,060260,TIXÁN
0603,060350,VILLA LA UNIÓN
0603,060351,CAÑI
0603,060352,COLUMBE
0603,060353,JUAN DE VELASCO
0603,060354,SANTIAGO DE QUITO
0604,060450,CHAMBO
0605,060550,CHUNCHI
0605,060551,CAPZOL
0605,060552,COMPUD
0605,060553,GONZOL
0605,060554,LLAGOS
0606,060650,GUAMOTE
0606,060651,CEBADAS
0606,060652,PALMIRA
0607,060750,GUANO
0607,060751,GUANANDO
0607,060752,ILAPO
0607,060753,LA PROVIDENCIA
0607,060754,SAN ANDRÉS
0607,060755,SAN GERARDO
0607,060756,SAN ISIDRO DE PATULÚ
0607,060757,SAN JOSÉ DEL CHAZO
0607,060758,SANTA FÉ DE GALÁN
0607,060759,VALPARAÍSO
0608,060850,PALLATANGA
0609,060950,PENIPE
0609,060951,EL ALTAR
0609,060952,MATUS
0609,060953,PUELA
0609,060954,SAN ANTONIO DE BAYUSHIG
0609,060955,LA CANDELARIA
0609,060956,BILBAO
0610,061050,CUMANDÁ
0701,070150,MACHALA
0701,070152,EL RETIRO
0702,070250,ARENILLAS
0702,070251,CHACRAS
0702,070254,PALMALES
0702,070255,CARCABÓN
0702,070256,LA CUCA
0703,070350,PACCHA
0703,070351,AYAPAMBA
0703,070352,CORDONCILLO
0703,070353,MILAGRO
0703,070354,SAN JOSÉ
0703,070355,SAN JUAN DE CERRO AZUL
0704,070450,BALSAS
0704,070451,BELLAMARÍA
0705,070550,CHILLA
0706,070650,EL GUABO
0706,070651,BARBONES
0706,070652,LA IBERIA
0706,070653,TENDALES
0706,070654,RÍO BONITO
0707,070750,HUAQUILLAS
0708,070850,MARCABELÍ
0708,070851,EL INGENIO
0709,070950,PASAJE
0709,070951,BUENAVISTA
0709,070952,CASACAY
0709,070953,LA PEAÑA
0709,070954,PROGRESO
0709,070955,UZHCURRUMI
0709,070956,CAÑAQUEMADA
0710,071050,PIÑAS
0710,071051,CAPIRO
0710,071052,LA BOCANA
0710,071053,MOROMORO
0710,071054,PIEDRAS
0710,071055,SAN ROQUE
0710,071056,SARACAY
0711,071150,PORTOVELO
0711,071151,CURTINCAPA
0711,071152,MORALES
0711,071153,SALATÍ
0712,071250,SANTA ROSA
0712,071251,BELLAVISTA
0712,071252,JAMBELÍ
0712,071253,LA AVANZADA
0712,071254,SAN ANTONIO
0712,071255,TORATA
0712,071256,VICTORIA
0712,071257,BELLAMARÍA
0713,071350,ZARUMA
0713,071351,ABAÑÍN
0713,071352,ARCAPAMBA
0713,071353,GUANAZÁN
0713,071354,GUIZHAGUIÑA
0713,071355,HUERTAS
0713,071356,MALVAS
0713,071357,MULUNCAY GRANDE
0713,071358,SINSAO
0713,071359,SALVIAS
0714,071450,LA VICTORIA
0714,071451,LA LIBERTAD
0714,071452,EL PARAÍSO
0714,071453,SAN ISIDRO
0801,080150,ESMERALDAS
0801,080152,CAMARONES
0801,080153,CORONEL CARLOS CONCHA TORRES
0801,080154,CHINCA
0801,080159,MAJUA
0801,080163,SAN MATEO
0801,080165,TABIAZO
0801,080166,TACHINA
0801,080168,VUELTA LARGA
0802,080250,VALDEZ
0802,080251,ANCHAYACU
0802,080252,ATAHUALPA
0802,080253,BORBÓN
0802,080254,LA TOLA
0802,080255,LUIS VARGAS TORRES
0802,080256,MALDONADO
0802,080257,PAMPANAL DE BOLÍVAR
0802,080258,SAN FRANCISCO DE ONZOLE
0802,080259,SANTO DOMINGO DE ONZOLE
0802,080260,SELVA ALEGRE
0802,080261,TELEMBÍ
0802,080262,COLÓN ELOY DEL MARÍA
0802,080263,SAN JOSÉ DE CAYAPAS
0802,080264,TIMBIRÉ
0802,080265,SANTA LUCÍA DE LAS PEÑAS
0803,080350,MUISNE
0803,080351,BOLÍVAR
0803,080352,DAULE
0803,080353,GALERA
0803,080354,QUINGUE
0803,080355,SÁLIMA
0803,080356,SAN FRANCISCO
0803,080357,SAN GREGORIO
0803,080358,SAN JOSÉ DE CHAMANGA
0804,080450,ROSA ZÁRATE
0804,080451,CUBE
0804,080452,CHURA
0804,080453,MALIMPIA
0804,080454,VICHE
0804,080455,LA UNIÓN
0805,080550,SAN LORENZO
0805,080551,ALTO TAMBO
0805,080552,ANCÓN
0805,080553,CALDERÓN
0805,080554,CARONDELET
0805,080555,5 DE JUNIO
0805,080556,CONCEPCIÓN
0805,080557,MATAJE
0805,080558,SAN JAVIER DE CACHAVÍ
0805,080559,SANTA RITA
0805,080560,TAMBILLO
0805,080561,TULULBÍ
0805,080562,URBINA
0806,080650,ATACAMES
0806,080651,LA UNIÓN
0806,080652,SÚA
0806,080653,TONCHIGÜE
0806,080654,TONSUPA
0807,080750,RIOVERDE
0807,080751,CHONTADURO
0807,080752,CHUMUNDÉ
0807,080753,LAGARTO
0807,080754,MONTALVO
0807,080755,ROCAFUERTE
0901,090150,GUAYAQUIL
0901,090152,JUAN GÓMEZ RENDÓN
0901,090153,MORRO
0901,090156,POSORJA
0901,090157,PUNÁ
0901,090158,TENGUEL
0902,090250,ALFREDO BAQUERIZO MORENO (JUJAN)
0903,090350,BALAO
0904,090450,BALZAR
0905,090550,COLIMES
0905,090551,SAN JACINTO
0906,090650,DAULE
0906,090652,JUAN BAUTISTA AGUIRRE
0906,090653,LAUREL
0906,090654,LIMONAL
0906,090656,LOS LOJAS
0907,090750,ELOY ALFARO
0908,090850,VELASCO IBARRA
0908,090851,GUAYAS
0908,090852,EL ROSARIO
0909,090950,EL TRIUNFO
0910,091050,MILAGRO
0910,091051,CHOBO
0910,091053,MARISCAL SUCRE
0910,091054,ROBERTO ASTUDILLO
0911,091150,NARANJAL
0911,091151,JESÚS MARÍA
0911,091152,SAN CARLOS
0911,091153,SANTA ROSA DE FLANDES
0911,091154,TAURA
0912,091250,NARANJITO
0913,091350,PALESTINA
0914,091450,PEDRO CARBO
0914,091451,VALLE DE LA VIRGEN
0914,091452,SABANILLA
0916,091650,SAMBORONDÓN
0916,091651,TARIFA
0918,091850,SANTA LUCÍA
0919,091950,EL SALITRE
0919,091951,GENERAL VERNAZA
0919,091952,LA VICTORIA
0919,091953,JUNQUILLAL
0920,092050,SAN JACINTO DE YAGUACHI
0920,092053,GENERAL PEDRO J. MONTERO
0920,092055,YAGUACHI VIEJO
0920,092056,VIRGEN DE FÁTIMA
0921,092150,GENERAL VILLAMIL
0922,092250,SIMÓN BOLÍVAR
0922,092251,CORONEL LORENZO DE GARAYCOA
0923,092350,CORONEL MARCELINO MARIDUEÑA
0924,092450,LOMAS DE SARGENTILLO
0925,092550,NARCISA DE JESÚS
0927,092750,GENERAL ANTONIO ELIZALDE
0928,092850,ISIDRO AYORA
1001,100150,SAN MIGUEL DE IBARRA
1001,100151,AMBUQUÍ
1001,100152,ANGOCHAGUA
1001,100153,CAROLINA
1001,100154,LA ESPERANZA
1001,100155,LITA
1001,100156,SALINAS
1001,100157,SAN ANTONIO
1002,100250,ATUNTAQUI
1002,100251,IMBAYA
1002,100252,SAN FRANCISCO DE NATABUELA
1002,100253,SAN JOSÉ DE CHALTURA
1002,100254,SAN ROQUE
1003,100350,COTACACHI
1003,100351,APUELA
1003,100352,GARCÍA MORENO
1003,100353,IMANTAG
1003,100354,PEÑAHERRERA
1003,100355,PLAZA GUTIÉRREZ
1003,100356,QUIROGA
1003,100357,SEIS DE JULIO DE CUELLAJE
1003,100358,VACAS GALINDO
1004,100450,OTAVALO
1004,100451,DR. MIGUEL EGAS CABEZAS
1004,100452,EUGENIO ESPEJO
1004,100453,GONZÁLEZ SUÁREZ
1004,100454,PATAQUÍ
1004,100455,SAN JOSÉ DE QUICHINCHE
1004,100456,SAN JUAN DE ILUMÁN
1004,100457,SAN PABLO
1004,100458,SAN RAFAEL
1004,100459,SELVA ALEGRE
1005,100550,PIMAMPIRO
1005,100551,CHUGÁ
1005,100552,MARIANO ACOSTA
1005,100553,SAN FRANCISCO DE SIGSIPAMBA
1006,100650,URCUQUÍ
1006,100651,CAHUASQUÍ
1006,100652,LA MERCED DE BUENOS AIRES
1006,100653,PABLO ARENAS
1006,100654,SAN BLAS
1006,100655,TUMBABIRO
1101,110150,LOJA
1101,110151,CHANTACO
1101,110152,CHUQUIRIBAMBA
1101,110153,EL CISNE
1101,110154,GUALEL
1101,110155,JIMBILLA
1101,110156,MALACATOS
1101,110157,SAN LUCAS
1101,110158,SAN PEDRO DE VILCABAMBA
1101,110159,SANTIAGO
1101,110160,TAQUIL
1101,110161,VILCABAMBA
1101,110162,YANGANA
1101,110163,QUINARA
1102,110250,CARIAMANGA
1102,110251,COLAISACA
1102,110252,EL LUCERO
1102,110253,UTUANA
1102,110254,SANGUILLÍN
1103,110350,CATAMAYO
1103,110351,EL TAMBO
1103,110352,GUAYQUICHUMA
1103,110353,SAN PEDRO DE LA BENDITA
1103,110354,ZAMBI
1104,110450,CELICA
1104,110451,CRUZPAMBA
1104,110455,PÓZUL
1104,110456,SABANILLA
1104,110457,TENIENTE MAXIMILIANO RODRÍGUEZ LOAIZA
1105,110550,CHAGUARPAMBA
1105,110551,BUENAVISTA
1105,110552,EL ROSARIO
1105,110553,SANTA RUFINA
1105,110554,AMARILLOS
1106,110650,AMALUZA
1106,110651,BELLAVISTA
1106,110652,JIMBURA
1106,110653,SANTA TERESITA
1106,110654,27 DE ABRIL
1106,110655,EL INGENIO
1106,110656,EL AIRO
1107,110750,GONZANAMÁ
1107,110751,CHANGAIMINA
1107,110753,NAMBACOLA
1107,110754,PURUNUMA
1107,110756,SACAPALCA
1108,110850,MACARÁ
1108,110851,LARAMA
1108,110852,LA VICTORIA
1108,110853,SABIANGO
1109,110950,CATACOCHA
1109,110951,CANGONAMÁ
1109,110952,GUACHANAMÁ
1109,110954,LAURO GUERRERO
1109,110956,ORIANGA
1109,110957,SAN ANTONIO
1109,110958,CASANGA
1109,110959,YAMANA
1110,111050,ALAMOR
1110,111051,CIANO
1110,111052,EL ARENAL
1110,111053,EL LIMO
1110,111054,MERCADILLO
1110,111055,VICENTINO
1111,111150,SARAGURO
1111,111151,EL PARAÍSO DE CELEN
1111,111152,EL TABLÓN
1111,111153,LLUZHAPA
1111,111154,MANÚ
1111,111155,SAN ANTONIO DE QUMBE
1111,111156,SAN PABLO DE TENTA
1111,111157,SAN SEBASTIÁN DE YÚLUC
1111,111158,SELVA ALEGRE
1111,111159,URDANETA
1111,111160,SUMAYPAMBA
1112,111250,SOZORANGA
1112,111251,NUEVA FÁTIMA
1112,111252,TACAMOROS
1113,111350,ZAPOTILLO
1113,111351,MANGAHURCO
1113,111352,GARZAREAL
1113,111353,LIMONES
1113,111354,PALETILLAS
1113,111355,BOLASPAMBA
1113,111356,CAZADEROS
1114,111450,PINDAL
1114,111451,CHAQUINAL
1114,111452,12 DE DICIEMBRE
1114,111453,MILAGROS
1115,111550,QUILANGA
1115,111551,FUNDOCHAMBA
1115,111552,SAN ANTONIO DE LAS ARADAS
1116,111650,OLMEDO
1116,111651,LA TINGUE
1201,120150,BABAHOYO
1201,120152,CARACOL
1201,120153,FEBRES CORDERO
1201,120154,PIMOCHA
1201,120155,LA UNIÓN
1202,120250,BABA
1202,120251,GUARE
1202,120252,ISLA DE BEJUCAL
1203,120350,MONTALVO
1203,120351,LA ESMERALDA
1204,120450,PUEBLOVIEJO
1204,120451,PUERTO PECHICHE
1204,120452,SAN JUAN
1205,120550,QUEVEDO
1205,120553,SAN CARLOS
1205,120555,LA ESPERANZA
1206,120650,CATARAMA
1206,120651,RICAURTE
1207,120750,VENTANAS
1207,120752,ZAPOTAL
1207,120753,CHACARITA
1207,120754,LOS ÁNGELES
1208,120850,VINCES
1208,120851,ANTONIO SOTOMAYOR
1209,120950,PALENQUE
1210,121050,SAN JACINTO DE BUENA FE
1210,121051,PATRICIA PILAR
1211,121150,VALENCIA
1212,121250,MOCACHE
1213,121350,QUINSALOMA
1301,130150,PORTOVIEJO
1301,130151,ABDÓN CALDERÓN
1301,130152,ALHAJUELA
1301,130153,CRUCITA
1301,130154,PUEBLO NUEVO
1301,130155,RIOCHICO
1301,130156,SAN PLÁCIDO
1301,130157,CHIRIJOS
1302,130250,CALCETA
1302,130251,MEMBRILLO
1302,130252,QUIROGA
1303,130350,CHONE
1303,130351,BOYACÁ
1303,130352,CANUTO
1303,130353,CONVENTO
1303,130354,CHIBUNGA
1303,130355,ELOY ALFARO
1303,130356,RICAURTE
1303,130357,SAN ANTONIO
1304,130450,EL CARMEN
1304,130451,WILFRIDO LOOR MOREIRA
1304,130452,SAN PEDRO DE SUMA
1304,130453,SANTA MARÍA
1304,130454,EL PARAÍSO LA 14
1305,130550,FLAVIO ALFARO
1305,130551,SAN FRANCISCO DE NOVILLO
1305,130552,ZAPALLO
1306,130650,JIPIJAPA
1306,130651,AMÉRICA
1306,130652,EL ANEGADO
1306,130653,JULCUY
1306,130654,LA UNIÓN
1306,130656,MEMBRILLAL
1306,130657,PEDRO PABLO GÓMEZ
1306,130658,PUERTO CAYO
1307,130750,JUNÍN
1308,130850,MANTA
1308,130851,SAN LORENZO
1308,130852,SANTA MARIANITA
1309,130950,MONTECRISTI
1309,130952,LA PILA
1310,131050,PAJÁN
1310,131051,CAMPOZANO
1310,131052,CASCOL
1310,131053,GUALE
1310,131054,LASCANO
1311,131150,PICHINCHA
1311,131151,BARRAGANETE
1311,131152,SAN SEBASTIÁN
1312,131250,ROCAFUERTE
1313,131350,SANTA ANA DE VUELTA LARGA
1313,131351,AYACUCHO
1313,131352,HONORATO VÁSQUEZ
1313,131353,LA UNIÓN
1313,131355,SAN PABLO
1314,131450,BAHÍA DE CARÁQUEZ
1314,131453,CHARAPOTÓ
1314,131457,SAN ISIDRO
1315,131550,TOSAGUA
1315,131551,BACHILLERO
1315,131552,ÁNGEL PEDRO GILER
1316,131650,SUCRE
1316,131651,BELLAVISTA
1316,131652,NOBOA
1316,131653,ARQUITECTO SIXTO DURÁN BALLÉN
1317,131750,PEDERNALES
1317,131751,COJIMÍES
1317,131752,DIEZ DE AGOSTO
1317,131753,ATAHUALPA
1318,131850,OLMEDO
1319,131950,PUERTO LÓPEZ
1319,131951,MACHALILLA
1319,131952,SALANGO
1320,132050,JAMA
1321,132150,JARAMIJÓ
1322,132250,SAN VICENTE
1322,132251,CANOA
1401,140150,MACAS
1401,140151,ALSHI
1401,140153,GENERAL PROAÑO
1401,140156,SAN ISIDRO
1401,140157,SEVILLA DON BOSCO
1401,140158,SINAÍ
1401,140160,ZUÑA
1401,140162,CUCHAENTZA
1401,140164,RÍO BLANCO
1402,140250,GUALAQUIZA
1402,140251,AMAZONAS
1402,140252,BERMEJOS
1402,140253,BOMBOIZA
1402,140254,CHIGÜINDA
1402,140255,EL ROSARIO
1402,140256,NUEVA TARQUI
1402,140257,SAN MIGUEL DE CUYES
1402,140258,EL IDEAL
1403,140350,GENERAL LEONIDAS PLAZA GUTIÉRREZ
1403,140351,INDANZA
1403,140353,SAN ANTONIO
1403,140356,SAN MIGUEL DE CONCHAY
1403,140357,SANTA SUSANA DE CHIVIAZA
1403,140358,YUNGANZA
1404,140450,PALORA
1404,140451,ARAPICOS
1404,140452,CUMANDÁ
1404,140454,SANGAY
1404,140455,16 DE AGOSTO
1405,140550,SANTIAGO DE MÉNDEZ
1405,140551,COPAL
1405,140552,CHUPIANZA
1405,140553,PATUCA
1405,140554,SAN LUIS DE EL ACHO
1405,140556,TAYUZA
1405,140557,SAN FRANCISCO DE CHINIMBIMI
1406,140650,SUCÚA
1406,140651,ASUNCIÓN
1406,140652,HUAMBI
1406,140655,SANTA MARIANITA DE JESÚS
1407,140750,HUAMBOYA
1407,140751,CHIGUAZA
1408,140850,SAN JUAN BOSCO
1408,140851,PAN DE AZÚCAR
1408,140852,SAN CARLOS DE LIMÓN
1408,140853,SAN JACINTO DE WAKAMBEIS
1408,140854,SANTIAGO DE PANANZA
1409,140950,TAISHA
1409,140951,HUASAGA
1409,140952,MACUMA
1409,140953,TUUTINENTSA
1409,140954,PUMPUENTSA
1410,141050,LOGROÑO
1410,141051,YAUPI
1410,141052,SHIMPIS
1411,141150,PABLO SEXTO
1412,141250,SANTIAGO
1412,141251,SAN JOSÉ DE MORONA
1501,150150,TENA
1501,150151,AHUANO
1501,150153,CHONTAPUNTA
1501,150154,PANO
1501,150155,PUERTO MISAHUALLÍ
1501,150156,PUERTO NAPO
1501,150157,TÁLAG
1501,150158,SAN JUAN DE MUYUNA
1503,150350,ARCHIDONA
1503,150352,COTUNDO
1503,150354,SAN PABLO DE USHPAYACU
1503,150356,HATUN SUMAKU
1504,150450,EL CHACO
1504,150451,GONZALO DÍAZ DE PINEDA
1504,150452,LINARES
1504,150453,OYACACHI
1504,150454,SANTA ROSA
1504,150455,SARDINAS
1507,150750,BAEZA
1507,150751,COSANGA
1507,150752,CUYUJA
1507,150753,PAPALLACTA
1507,150754,SAN FRANCISCO DE BORJA
1507,150756,SUMACO
1509,150950,CARLOS JULIO AROSEMENA TOLA
1601,160150,PUYO
1601,160152,CANELOS
1601,160154,DIEZ DE AGOSTO
1601,160155,FÁTIMA
1601,160156,MONTALVO
1601,160157,POMONA
1601,160158,RÍO CORRIENTES
1601,160159,RÍO TIGRE
1601,160161,SARAYACU
1601,160162,SIMÓN BOLÍVAR
1601,160163,TARQUI
1601,160164,TENIENTE HUGO ORTIZ
1601,160165,VERACRUZ
1601,160166,EL TRIUNFO
1602,160250,MERA
1602,160251,MADRE TIERRA
1602,160252,SHELL
1603,160350,SANTA CLARA
1603,160351,SAN JOSÉ
1604,160450,ARAJUNO
1604,160451,CURARAY
1701,170150,QUITO
1701,170151,ALANGASÍ
1701,170152,AMAGUAÑA
1701,170153,ATAHUALPA
1701,170154,CALACALÍ
1701,170155,CALDERÓN
1701,170156,CONOCOTO
1701,170157,CUMBAYÁ
1701,170158,CHAVEZPAMBA
1701,170159,CHECA
1701,170160,EL QUINCHE
1701,170161,GUALEA
1701,170162,GUANGOPOLO
1701,170163,GUAYLLABAMBA
1701,170164,LA MERCED
1701,170165,LLANO CHICO
1701,170166,LLOA
1701,170168,NANEGAL
1701,170169,NANEGALITO
1701,170170,NAYÓN
1701,170171,NONO
1701,170172,PACTO
1701,170174,PERUCHO
1701,170175,PIFO
1701,170176,PÍNTAG
1701,170177,POMASQUI
1701,170178,PUÉLLARO
1701,170179,PUEMBO
1701,170180,SAN ANTONIO
1701,170181,SAN JOSÉ DE MINAS
1701,170183,TABABELA
1701,170184,TUMBACO
1701,170185,YARUQUÍ
1701,170186,ZÁMBIZA
1702,170250,CAYAMBE
1702,170251,ASCÁZUBI
1702,170252,CANGAHUA
1702,170253,OLMEDO
1702,170254,OTÓN
1702,170255,SANTA ROSA DE CUZUBAMBA
1702,170256,SAN JOSÉ DE AYORA
1703,170350,MACHACHI
1703,170351,ALOAG
1703,170352,ALOASÍ
1703,170353,CUTUGLAHUA
1703,170354,EL CHAUPI
1703,170355,MANUEL CORNEJO ASTORGA
1703,170356,TAMBILLO
1703,170357,UYUMBICHO
1704,170450,TABACUNDO
1704,170451,LA ESPERANZA
1704,170452,MALCHINGUÍ
1704,170453,TOCACHI
1704,170454,TUPIGACHI
1705,170550,SANGOLQUÍ
1705,170551,COTOGCHOA
1705,170552,RUMIPAMBA
1707,170750,SAN MIGUEL DE LOS BANCOS
1707,170751,MINDO
1708,170850,PEDRO VICENTE MALDONADO
1709,170950,PUERTO QUITO
1801,180150,AMBATO
1801,180151,AMBATILLO
1801,180152,ATAHUALPA
1801,180153,AUGUSTO N. MARTÍNEZ
1801,180154,CONSTANTINO FERNÁNDEZ
1801,180155,HUACHI GRANDE
1801,180156,IZAMBA
1801,180157,JUAN BENIGNO VELA
1801,180158,MONTALVO
1801,180159,PASA
1801,180160,PICAIHUA
1801,180161,PILAGÜÍN (PILAHUÍN)
1801,180162,QUISAPINCHA
1801,180163,SAN BARTOLOMÉ DE PINLLO
1801,180164,SAN FERNANDO
1801,180165,SANTA ROSA
1801,180166,TOTORAS
1801,180167,CUNCHIBAMBA
1801,180168,UNAMUNCHO
1802,180250,BAÑOS
1802,180251,LLIGUA
1802,180252,RÍO NEGRO
1802,180253,RÍO VERDE
1802,180254,ULBA
1803,180350,CEVALLOS
1804,180450,MOCHA
1804,180451,PINGUILÍ
1805,180550,PATATE
1805,180551,EL TRIUNFO
1805,180552,LOS ANDES
1805,180553,SUCRE
1806,180650,QUERO
1806,180651,RUMIPAMBA
1806,180652,YANAYACU-MOCHAPATA
1807,180750,PELILEO
1807,180751,BENÍTEZ
1807,180752,BOLÍVAR
1807,180753,COTALÓ
1807,180754,CHIQUICHA
1807,180755,EL ROSARIO
1807,180756,GARCÍA MORENO
1807,180757,GUAMBALÓ
1807,180758,SALASACA
1808,180850,PÍLLARO
